artist_name,total_events,weekend_events,countries,cities,pct_weekend,lead_time_days,touring_status,future_events,pct_future_events,events_last_year,revisit_cities,new_cities,pct_revisit_cities,revisit_ratio,pct_events_revisit,most_visited_city,most_visited_n,capital_events,non_capital_events,pct_capital,capital_ratio,unique_capitals,unique_non_capitals,pct_capital_cities,avg_days_between_shows,top1_share,top3_share,top5_share,hhi,n_tracks,total_track_plays,listeners,playcount,tags
Fleetwood Mac,2,1,2,2,50.0,126.0,active_tour,2,100.0,,0,2,0.0,0.0,0.0,Brisbane,1,0.0,2.0,0.0,0.0,0.0,2.0,0.0,107.0,16.01,37.67,50.54,773.3,20.0,168844974.0,4808547,289097731,"classic rock, rock, 70s, blues, pop"
Flo Rida,9,1,5,9,11.11,46112.0,active_tour,9,100.0,,0,9,0.0,0.0,0.0,New York,1,0.0,9.0,0.0,0.0,0.0,9.0,0.0,10.8,13.22,38.42,59.62,916.9,20.0,56980019.0,4118878,75015990,"Hip-Hop, rap, hip hop, Dirty South, southern rap"
Fontaines D.C.,3,1,2,3,33.33,267.0,active_tour,3,100.0,,0,3,0.0,0.0,0.0,Leeds,1,0.0,3.0,0.0,0.0,0.0,3.0,0.0,10.5,13.77,34.29,50.6,732.2,20.0,54258091.0,1068219,74600803,"post-punk, Crank wave, indie rock, irish, post-brexit new wave"
Foo Fighters,23,9,7,20,39.13,188.0,active_tour,23,100.0,,2,18,10.0,0.111,21.74,Napa,3,2.0,21.0,8.7,0.095,2.0,18.0,10.0,6.4,23.74,43.38,58.02,1013.0,20.0,189528858.0,6313148,359676961,"rock, alternative rock, Grunge, alternative, hard rock"
Foster the People,2,1,1,2,50.0,120.0,active_tour,2,100.0,,0,2,0.0,0.0,0.0,Louisville,1,0.0,2.0,0.0,0.0,0.0,2.0,0.0,195.0,31.23,49.31,60.94,1337.3,20.0,97005607.0,3687798,117884199,"indie, indie pop, alternative, american, indie rock"
Frank Sinatra,35,35,1,1,100.0,129.0,active_tour,35,100.0,,1,0,100.0,,100.0,Berlin,35,35.0,0.0,100.0,,1.0,0.0,100.0,7.6,11.19,36.93,51.34,795.6,20.0,67960488.0,4885987,179271799,"jazz, swing, oldies, vocal jazz, easy listening"
Franz Ferdinand,14,6,7,13,42.86,290.0,active_tour,13,92.86,1.0,1,12,7.69,0.083,14.29,Werchter,2,2.0,12.0,14.29,0.167,2.0,11.0,15.38,12.0,29.04,41.07,51.36,1140.9,20.0,108321869.0,4831912,179077783,"indie rock, indie, rock, alternative, britpop"
Freddie Gibbs,20,8,4,18,40.0,46098.0,active_tour,20,100.0,,2,16,11.11,0.125,20.0,Manchester,2,4.0,16.0,20.0,0.25,3.0,15.0,16.67,4.9,11.44,29.72,43.9,646.0,20.0,49273849.0,1278766,107699731,"Hip-Hop, Gangsta Rap, rap, underground hip-hop, hip hop"
Future,1,0,1,1,0.0,206.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Tampere,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,7.19,28.86,42.36,651.7,20.0,172939306.0,3171840,449794315,"Hip-Hop, rap, trap, hip hop, atlanta"
Geese,23,9,7,15,39.13,220.0,active_tour,23,100.0,,5,10,33.33,0.5,56.52,London,3,4.0,19.0,17.39,0.211,2.0,13.0,13.33,8.3,11.08,28.66,40.09,599.0,20.0,29868427.0,511461,33999772,"indie rock, post-punk, art punk, Crank wave, dance-punk"
Gigi Perez,30,10,2,22,33.33,46181.0,active_tour,30,100.0,,6,16,27.27,0.375,46.67,Boston,4,0.0,30.0,0.0,0.0,0.0,22.0,0.0,2.8,55.78,76.55,83.97,3396.3,20.0,47482024.0,1363612,47691976,"bedroom pop, singer-songwriter, indie, folk, my top songs"
Givēon,8,2,6,8,25.0,114.0,active_tour,8,100.0,,0,8,0.0,0.0,0.0,Dübendorf,1,4.0,4.0,50.0,1.0,4.0,4.0,50.0,2.6,11.93,36.9,47.79,729.7,20.0,18931707.0,688767,24836079,"rnb, soul, pop, USA, Neo Soul"
Gorillaz,41,17,7,36,41.46,181.0,active_tour,41,100.0,,4,32,11.11,0.125,20.0,Werchter,2,3.0,38.0,7.32,0.079,2.0,34.0,5.56,6.2,15.96,36.46,52.17,762.6,20.0,241443430.0,6779023,501969515,"electronic, alternative, Hip-Hop, rock, indie"
Grimes,1,0,1,1,0.0,111.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Belfast,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,19.65,48.54,59.12,1023.8,20.0,115478102.0,2627478,193603349,"electronic, dream pop, experimental, psychedelic, Canadian"
Gunna,11,3,6,9,27.27,263.0,active_tour,11,100.0,,2,7,22.22,0.286,36.36,Amsterdam,2,5.0,6.0,45.45,0.833,3.0,6.0,33.33,13.1,15.18,33.22,46.93,700.1,20.0,88902154.0,1779003,176439461,"rap, trap, Hip-Hop, hip hop, atlanta"
Guns N' Roses,40,15,12,35,37.5,273.0,active_tour,40,100.0,,4,31,11.43,0.129,22.5,Derby,3,6.0,34.0,15.0,0.176,4.0,31.0,11.43,6.8,16.0,39.48,56.0,818.0,20.0,131146245.0,5142461,201524320,"hard rock, rock, classic rock, 80s, metal"
Gwen Stefani,2,2,2,2,100.0,141.0,active_tour,2,100.0,,0,2,0.0,0.0,0.0,Ocean City,1,1.0,1.0,50.0,1.0,1.0,1.0,50.0,70.0,14.34,41.6,61.13,972.1,20.0,71478626.0,4408955,87886325,"pop, female vocalists, dance, rock, alternative"
Halsey,6,4,4,4,66.67,135.0,active_tour,6,100.0,,2,2,50.0,1.0,66.67,Werchter,2,0.0,6.0,0.0,0.0,0.0,4.0,0.0,20.0,13.75,29.72,39.72,656.7,20.0,101433295.0,2774603,218583046,"pop, indie pop, indie, alternative, female vocalists"
Harry Styles,66,24,6,7,36.36,46155.0,active_tour,65,98.48,1.0,6,1,85.71,6.0,98.44,New York,30,22.0,44.0,33.33,0.5,2.0,5.0,28.57,4.3,13.94,27.33,38.06,610.4,20.0,294798942.0,3197410,403975946,"pop, rock, pop rock, alternative, british"
Hearts2Hearts,3,1,1,2,33.33,89.0,active_tour,3,100.0,,1,1,50.0,1.0,66.67,Los Angeles,2,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,31.88,65.43,83.79,1820.1,20.0,16437138.0,317554,16162545,"Korean, k-pop, Kpop, girl group, sm entertainment"
Hole,1,1,1,1,100.0,47.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Rozelle,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,15.8,36.85,52.67,784.0,20.0,56563743.0,2080548,71026833,"Grunge, female vocalists, alternative rock, rock, alternative"
IVE,2,2,2,2,100.0,148.0,active_tour,2,100.0,,0,2,0.0,0.0,0.0,Singapore,1,1.0,1.0,50.0,1.0,1.0,1.0,50.0,42.0,14.96,41.5,57.73,862.8,20.0,121810161.0,1025917,154815663,"k-pop, Korean, Kpop, pop, female vocalists"
J Balvin,4,2,2,3,50.0,174.0,active_tour,4,100.0,,1,2,33.33,0.5,50.0,Ciudad de México,2,0.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,19.06,37.36,45.33,778.6,20.0,40049240.0,1805392,62920070,"Reggaeton, pop, colombian, latin, Colombia"
J. Cole,67,21,13,49,31.34,141.0,active_tour,67,100.0,,17,32,34.69,0.531,52.24,London,3,8.0,59.0,11.94,0.136,5.0,44.0,10.2,2.3,17.22,35.7,47.65,759.8,20.0,146972183.0,3807253,298561920,"Hip-Hop, rap, hip hop, North Carolina, underground hip-hop"
JID,17,3,11,17,17.65,198.0,active_tour,17,100.0,,0,17,0.0,0.0,0.0,Brisbane,1,5.0,12.0,29.41,0.417,5.0,12.0,29.41,9.1,18.72,36.12,49.91,780.1,20.0,68491970.0,1370698,103504171,"rap, Hip-Hop, trap, hip hop, rnb"
Jamiroquai,1,0,1,1,0.0,299.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Sevilla,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,11.7,30.5,44.17,654.0,20.0,47513194.0,2853958,102915643,"funk, acid jazz, electronic, dance, pop"
Jane Remover,1,1,1,1,100.0,150.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Queens,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,11.08,25.4,39.18,574.9,20.0,32644634.0,500002,52098257,"digicore, hyperpop, shoegaze, indietronica, trap"
Jason Derulo,1,0,1,1,0.0,53.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Bergen,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,24.6,65.34,73.07,1544.7,20.0,5115014.0,3080732,59804257,
Jennie,1,1,1,1,100.0,151.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Queens,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,17.73,41.82,60.32,928.5,20.0,103944226.0,1459036,105643692,"k-pop, Korean, Kpop, jennie, blackpink"
Jennifer Lopez,8,4,1,1,50.0,273.0,active_tour,7,87.5,2.0,1,0,100.0,,100.0,Las Vegas,8,0.0,8.0,0.0,0.0,0.0,1.0,0.0,3.1,17.82,31.86,45.24,747.6,20.0,37878739.0,3738601,71653651,"pop, rnb, latin, female vocalists, dance"
Jhené Aiko,1,1,1,1,100.0,77.0,active_tour,1,100.0,1.0,0,1,0.0,0.0,0.0,Miami,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,18.17,36.07,48.83,802.9,20.0,46592116.0,1366120,69159350,"rnb, soul, pop, female vocalists, r&b"
Joji,31,8,12,30,25.81,102.0,active_tour,31,100.0,,1,29,3.33,0.034,6.45,Inglewood,2,5.0,26.0,16.13,0.192,5.0,25.0,16.67,5.2,14.86,35.01,47.69,720.0,20.0,244512873.0,2956634,361580479,"Lo-Fi, rnb, Hip-Hop, alternative rnb, japanese"
Jordana,7,3,3,7,42.86,131.0,active_tour,7,100.0,,0,7,0.0,0.0,0.0,Kansas City,1,1.0,6.0,14.29,0.167,1.0,6.0,14.29,12.7,53.25,80.58,90.89,3303.2,20.0,26253387.0,1247480,27412321,"pop, indie pop, indie rock, indie, female vocalists"
Julia Wolf,4,2,2,4,50.0,162.0,active_tour,4,100.0,1.0,0,4,0.0,0.0,0.0,Dublin,1,1.0,3.0,25.0,0.333,1.0,3.0,25.0,1.7,65.05,72.69,79.45,4315.8,20.0,11571609.0,557762,12600132,"indie pop, pop, singer-songwriter, alternative, alternative pop"
KATSEYE,1,0,1,1,0.0,149.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Queens,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,17.86,55.55,73.28,1294.7,20.0,91713953.0,1479403,91924770,"pop, k-pop, hyperpop, electropop, american"
KAYTRANADA,10,4,6,9,40.0,107.0,active_tour,10,100.0,,1,8,11.11,0.125,20.0,Dublin,2,6.0,4.0,60.0,1.5,5.0,4.0,55.56,2.7,11.38,31.61,49.65,683.3,20.0,39670965.0,1544296,74334340,"electronic, Hip-Hop, beats, experimental, House"
Kali Uchis,3,3,1,3,100.0,183.0,active_tour,3,100.0,,0,3,0.0,0.0,0.0,Inglewood,1,0.0,3.0,0.0,0.0,0.0,3.0,0.0,35.0,14.64,40.24,58.0,845.9,20.0,167249173.0,3011779,307120156,"rnb, Neo-Soul, soul, alternative rnb, pop"
Kate Bush,4,4,1,4,100.0,280.0,active_tour,4,100.0,,0,4,0.0,0.0,0.0,Cambridge,1,0.0,4.0,0.0,0.0,0.0,4.0,0.0,12.0,26.0,44.79,56.44,1105.3,20.0,76483531.0,3411549,142325589,"female vocalists, singer-songwriter, pop, alternative, 80s"
Katy Perry,4,1,3,4,25.0,242.0,active_tour,4,100.0,,0,4,0.0,0.0,0.0,Woodstock,1,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2.3,8.94,25.28,42.04,621.2,20.0,250510966.0,7048299,429941777,"pop, female vocalists, pop rock, indie, rock"
Keane,3,1,2,2,33.33,159.0,active_tour,3,100.0,,1,1,50.0,1.0,66.67,Dublin,2,2.0,1.0,66.67,2.0,1.0,1.0,50.0,1.0,33.12,50.9,60.31,1440.5,20.0,78869352.0,3997883,116470042,"britpop, indie, british, alternative, rock"
Kehlani,1,0,1,1,0.0,,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Montreal,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,10.77,36.55,50.57,743.2,20.0,39730010.0,1659399,67873239,"rnb, pop, soul, female vocalists, Hip-Hop"
Kelly Clarkson,11,6,1,2,54.55,46092.0,active_tour,11,100.0,,1,1,50.0,1.0,90.91,Las Vegas,10,0.0,11.0,0.0,0.0,0.0,2.0,0.0,15.4,18.48,37.47,52.99,850.7,20.0,72762612.0,4475094,131217035,"pop, female vocalists, pop rock, rock, Kelly Clarkson"
Ken Carson,7,1,3,6,14.29,97.0,active_tour,7,100.0,,1,5,16.67,0.2,28.57,Amsterdam,2,4.0,3.0,57.14,1.333,3.0,3.0,50.0,2.2,9.65,25.55,38.29,579.6,20.0,140000429.0,1141879,276030224,"rage, trap, cloud rap, rap, opium"
Kesha,14,5,5,10,35.71,277.0,active_tour,14,100.0,,2,8,20.0,0.25,42.86,London,3,4.0,10.0,28.57,0.4,2.0,8.0,20.0,9.5,18.41,38.09,54.76,826.2,20.0,62351389.0,3086977,114670089,
Khalid,25,7,2,25,28.0,154.0,active_tour,25,100.0,,0,25,0.0,0.0,0.0,Berkeley,1,0.0,25.0,0.0,0.0,0.0,25.0,0.0,1.7,13.5,39.09,54.13,792.3,20.0,62031840.0,2271778,94851741,"soul, pop, rnb, alternative rnb, alternative"
Kid Cudi,33,9,2,33,27.27,87.0,active_tour,33,100.0,,0,33,0.0,0.0,0.0,New York,1,0.0,33.0,0.0,0.0,0.0,33.0,0.0,1.9,12.59,32.94,51.96,763.1,20.0,109693578.0,4648881,270325355,"Hip-Hop, rap, alternative rap, hip hop, House"
Kings of Leon,14,6,6,13,42.86,140.0,active_tour,14,100.0,,1,12,7.69,0.083,14.29,Hollywood,2,2.0,12.0,14.29,0.167,2.0,11.0,15.38,12.3,21.46,44.73,53.77,947.0,20.0,152141367.0,5093310,264674186,"rock, indie, indie rock, alternative, Southern Rock"
Kodak Black,5,3,1,5,60.0,46090.0,active_tour,5,100.0,,0,5,0.0,0.0,0.0,Brooklyn,1,0.0,5.0,0.0,0.0,0.0,5.0,0.0,11.0,11.09,27.42,42.93,902.8,20.0,70974742.0,1780237,103284887,"trap, rap, Hip-Hop, hip hop, florida"
Korn,2,1,2,2,50.0,189.0,active_tour,2,100.0,,0,2,0.0,0.0,0.0,Ciudad de México,1,0.0,2.0,0.0,0.0,0.0,2.0,0.0,24.0,14.43,31.27,45.87,679.9,20.0,114972027.0,3368573,245665839,"Nu Metal, metal, alternative, rock, Nu-metal"
Labrinth,3,2,1,1,66.67,154.0,active_tour,3,100.0,,1,0,100.0,,100.0,San Francisco,3,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,17.57,40.2,56.75,945.2,20.0,58758777.0,2508265,73412582,"electronic, british, rnb, dance, r&b"
Lady Gaga,15,2,2,7,13.33,338.0,active_tour,15,100.0,,6,1,85.71,6.0,93.33,Montreal,3,0.0,15.0,0.0,0.0,0.0,7.0,0.0,2.6,9.42,25.48,36.88,599.6,20.0,433930615.0,7632370,1011759640,"pop, dance, electronic, female vocalists, female vocalist"
Laufey,5,1,4,4,20.0,176.0,active_tour,4,80.0,1.0,1,3,25.0,0.333,40.0,London,2,4.0,1.0,80.0,4.0,3.0,1.0,75.0,39.8,17.42,36.95,54.47,801.4,20.0,152901526.0,2268345,246922075,"jazz, Bossa Nova, pop, female vocalists, jazz pop"
Lauv,25,7,2,25,28.0,154.0,active_tour,25,100.0,,0,25,0.0,0.0,0.0,Berkeley,1,0.0,25.0,0.0,0.0,0.0,25.0,0.0,1.7,16.9,32.97,45.77,1006.2,20.0,54236605.0,1735659,76866147,"pop, indie pop, indie, american, jazz"
Led Zeppelin,1,0,1,1,0.0,267.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Rochester,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,11.42,24.83,36.8,572.7,20.0,123219436.0,4897283,338249344,"classic rock, hard rock, rock, 70s, Progressive rock"
Leon Thomas,39,18,9,27,46.15,271.0,active_tour,39,100.0,,9,18,33.33,0.5,53.85,Toronto,5,6.0,33.0,15.38,0.182,5.0,22.0,18.52,4.2,41.29,56.44,67.78,1961.0,20.0,17014994.0,875329,21079975,"jazz, soul, funk, spiritual jazz, free jazz"
Lil Wayne,3,2,1,1,66.67,127.0,active_tour,3,100.0,,1,0,100.0,,100.0,Napa,3,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,26.28,48.44,65.6,1184.5,20.0,10296582.0,3529811,164668622,
Lil Yachty,1,1,1,1,100.0,161.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Eau Claire,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,16.43,33.83,45.66,722.6,20.0,79188771.0,1783282,129785469,"trap, rap, Hip-Hop, hip hop, Psychedelic Rock"
Lily Allen,42,17,7,25,40.48,179.0,active_tour,42,100.0,1.0,11,14,44.0,0.786,66.67,London,6,9.0,33.0,21.43,0.273,3.0,22.0,12.0,5.6,17.17,36.36,53.52,783.5,20.0,82957132.0,3731003,129239405,"pop, female vocalists, british, britpop, singer-songwriter"
Limp Bizkit,10,4,5,8,40.0,236.0,active_tour,10,100.0,,2,6,25.0,0.333,40.0,Derby,2,1.0,9.0,10.0,0.111,1.0,7.0,12.5,13.4,19.44,40.42,56.97,902.6,20.0,115152633.0,4078832,175083167,"Nu Metal, rapcore, alternative, rock, metal"
Linkin Park,14,2,8,9,14.29,46096.0,active_tour,14,100.0,,4,5,44.44,0.8,64.29,Derby,3,2.0,12.0,14.29,0.167,2.0,7.0,22.22,8.0,10.81,28.62,41.78,610.5,20.0,356599852.0,6856669,726615747,"Nu Metal, rock, alternative rock, alternative, metal"
Lisa,4,2,1,4,50.0,124.0,active_tour,4,100.0,,0,4,0.0,0.0,0.0,Rosemont,1,0.0,4.0,0.0,0.0,0.0,4.0,0.0,20.3,20.06,41.77,66.48,1044.2,20.0,104041100.0,1919588,125766134,"j-pop, japanese, female vocalists, pop, Hip-Hop"
Lit,9,1,2,9,11.11,216.0,active_tour,9,100.0,,0,9,0.0,0.0,0.0,Sacramento,1,0.0,9.0,0.0,0.0,0.0,9.0,0.0,24.4,74.62,83.65,87.45,5635.3,20.0,11695968.0,1284456,12930803,"alternative rock, pop punk, rock, alternative, punk"
Lola Young,5,1,2,5,20.0,88.0,active_tour,5,100.0,,0,5,0.0,0.0,0.0,Los Angeles,1,1.0,4.0,20.0,0.25,1.0,4.0,20.0,23.5,42.13,63.24,72.07,2106.0,20.0,23001859.0,1152073,25873763,"pop, rnb, indie pop, soul, my top songs"
Lord Huron,20,8,2,19,40.0,46140.0,active_tour,20,100.0,,1,18,5.26,0.056,10.0,Bonner,2,1.0,19.0,5.0,0.053,1.0,18.0,5.26,4.2,54.83,68.22,76.03,3169.8,20.0,55506685.0,2271718,71637214,"folk, psychedelic, indie, indie pop, indie folk"
Lorde,20,7,8,15,35.0,231.0,active_tour,20,100.0,,4,11,26.67,0.364,45.0,Napa,3,2.0,18.0,10.0,0.111,2.0,13.0,13.33,6.6,7.34,26.02,37.9,601.3,20.0,290359953.0,3672072,436545887,"pop, indie pop, electronic, indie, New Zealand"
Lucki,2,1,1,1,50.0,188.0,active_tour,2,100.0,,1,0,100.0,,100.0,Toronto,2,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,39.55,82.57,91.62,2574.0,20.0,2554947.0,1135578,283254620,
Lykke Li,5,3,5,5,60.0,302.0,active_tour,5,100.0,,0,5,0.0,0.0,0.0,Helsinki,1,2.0,3.0,40.0,0.667,2.0,3.0,40.0,25.2,12.87,35.58,50.23,720.9,20.0,59989348.0,3106961,96800791,"indie pop, female vocalists, swedish, electronic, pop"
Mac DeMarco,27,7,6,24,25.93,307.0,active_tour,27,100.0,,2,22,8.33,0.091,18.52,London,3,5.0,22.0,18.52,0.227,3.0,21.0,12.5,6.2,11.87,35.2,52.02,744.5,20.0,226270524.0,3198917,337956905,"Lo-Fi, indie, post-punk, experimental, indie rock"
Mac Miller,1,0,1,1,0.0,85.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Atlanta,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,11.56,26.88,37.32,593.6,20.0,182376464.0,3466486,422425806,"Hip-Hop, rap, underground hip-hop, hip hop, pittsburgh"
Madison Beer,31,9,9,31,29.03,110.0,active_tour,31,100.0,,0,31,0.0,0.0,0.0,Manchester,1,5.0,26.0,16.13,0.192,5.0,26.0,16.13,2.1,16.27,33.78,47.09,727.3,20.0,66764195.0,1638084,105326464,"pop, female vocalists, rnb, indie, my top songs"
Madonna,1,0,1,1,0.0,203.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,San Leandro,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,13.44,30.63,42.86,651.4,20.0,116794323.0,5520985,355367626,"pop, dance, female vocalists, 80s, electronic"
Magdalena Bay,2,0,1,2,0.0,88.0,active_tour,2,100.0,,0,2,0.0,0.0,0.0,Bloomington,1,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,10.5,30.91,40.96,623.9,20.0,75778205.0,1410653,110048601,"synthpop, electropop, indie pop, dream pop, pop"
Major Lazer,8,1,4,6,12.5,2307.0,active_tour,8,100.0,,1,5,16.67,0.2,37.5,Yesodot,3,0.0,8.0,0.0,0.0,0.0,6.0,0.0,94.0,24.65,46.98,60.14,1106.6,20.0,38624374.0,2931057,68415415,"electronic, dancehall, reggae, dub, electro"
Malcolm Todd,4,2,1,2,50.0,27.0,active_tour,4,100.0,,1,1,50.0,1.0,75.0,San Francisco,3,0.0,4.0,0.0,0.0,0.0,2.0,0.0,46.0,14.5,40.56,57.74,840.1,20.0,55407792.0,1128902,73140615,"alternative rnb, indie, USA, indie rock, los angeles"
Marina,6,1,1,6,16.67,207.0,active_tour,6,100.0,,0,6,0.0,0.0,0.0,London,1,1.0,5.0,16.67,0.2,1.0,5.0,16.67,1.4,14.72,36.06,51.3,744.2,20.0,102748141.0,2213425,177329693,"pop, female vocalists, indie pop, post-hardcore, polish"
Maroon 5,4,1,3,4,25.0,234.0,active_tour,4,100.0,,0,4,0.0,0.0,0.0,London,1,1.0,3.0,25.0,0.333,1.0,3.0,25.0,3.7,11.83,28.05,43.86,648.6,20.0,167182216.0,6564586,281970159,"pop rock, rock, pop, alternative, alternative rock"
Marshmello,5,4,2,4,80.0,46099.0,active_tour,5,100.0,,1,3,25.0,0.333,40.0,Las Vegas,2,0.0,5.0,0.0,0.0,0.0,4.0,0.0,31.5,13.88,34.37,52.55,776.2,20.0,51968613.0,2534472,67374129,"electronic, dance, EDM, trap, pop"
Marvin Gaye,1,1,1,1,100.0,136.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,San Leandro,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,20.12,40.97,56.04,922.6,20.0,56437387.0,3711394,88715282,"soul, funk, motown, rhythm and blues, rnb"
Massive Attack,3,0,3,3,0.0,88.0,active_tour,3,100.0,,0,3,0.0,0.0,0.0,København S,1,1.0,2.0,33.33,0.5,1.0,2.0,33.33,6.0,18.05,38.96,50.3,844.0,20.0,101306256.0,3825546,185985377,"trip-hop, electronic, chillout, downtempo, electronica"
Matt Maltese,3,0,3,3,0.0,381.0,active_tour,3,100.0,,0,3,0.0,0.0,0.0,Auckland,1,1.0,2.0,33.33,0.5,1.0,2.0,33.33,82.5,24.49,55.64,70.35,1292.8,20.0,52279934.0,1712156,67167177,"indie pop, pop, singer-songwriter, indie, british"
Melanie Martinez,1,0,1,1,0.0,,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Toronto,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,7.81,19.91,32.38,530.1,20.0,128023424.0,2262252,238982224,"pop, indie, indie pop, female vocalists, alternative"
Men I Trust,7,1,7,7,14.29,170.0,active_tour,7,100.0,,0,7,0.0,0.0,0.0,Johanneshov,1,3.0,4.0,42.86,0.75,3.0,4.0,42.86,36.8,32.7,48.79,61.08,1390.1,20.0,81931117.0,2134749,123553821,"dream pop, indie pop, indie, Sophisti-Pop, downtempo"
Metric,20,4,2,18,20.0,121.0,active_tour,20,100.0,,2,16,11.11,0.125,20.0,San Francisco,2,0.0,20.0,0.0,0.0,0.0,18.0,0.0,3.2,15.25,36.37,49.95,737.6,20.0,59822830.0,2809277,110623159,"indie, indie rock, female vocalists, Canadian, alternative"
Metro Boomin,1,0,1,1,0.0,124.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Atlanta,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,9.19,30.69,43.96,641.7,20.0,192296502.0,2441400,239901919,"trap, rap, Hip-Hop, hip hop, Southern Hip Hop"
Miguel,28,6,8,28,21.43,128.0,active_tour,27,96.43,1.0,0,28,0.0,0.0,0.0,Munich,1,3.0,25.0,10.71,0.12,3.0,25.0,10.71,159.9,25.79,54.31,71.61,1367.5,20.0,61431258.0,2647242,76967621,"rnb, soul, r&b, Hip-Hop, hip hop"
Mitski,12,4,5,6,33.33,46085.0,active_tour,11,91.67,2.0,2,4,33.33,0.5,66.67,Los Angeles,5,1.0,11.0,8.33,0.091,1.0,5.0,16.67,6.9,13.81,32.53,45.89,668.2,20.0,356846709.0,3201407,643218175,"indie rock, indie, indie pop, singer-songwriter, dream pop"
Mother Mother,4,1,2,4,25.0,190.0,active_tour,4,100.0,,0,4,0.0,0.0,0.0,Spokane,1,0.0,4.0,0.0,0.0,0.0,4.0,0.0,30.3,14.56,36.4,53.52,838.1,20.0,70975905.0,1902369,102754293,"indie, Canadian, indie pop, experimental, folk"
Mumford & Sons,44,16,9,39,36.36,169.0,active_tour,44,100.0,,4,35,10.26,0.114,20.45,New York,3,3.0,41.0,6.82,0.073,3.0,36.0,7.69,3.7,15.68,36.74,48.94,736.1,20.0,96592770.0,2667238,136918270,"folk, indie, british, acoustic, bluegrass"
Muse,1,0,1,1,0.0,222.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Milwaukee,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,13.4,31.07,45.27,654.0,20.0,259627553.0,6326491,564793915,"alternative rock, rock, Progressive rock, alternative, indie"
My Chemical Romance,25,10,4,19,40.0,46149.0,active_tour,25,100.0,,2,17,10.53,0.118,32.0,Hollywood,5,5.0,20.0,20.0,0.25,3.0,16.0,15.79,7.7,8.89,25.55,39.35,568.5,20.0,299349660.0,4784939,532508768,"rock, alternative, punk rock, emo, punk"
NMIXX,10,2,6,10,20.0,94.0,active_tour,10,100.0,,0,10,0.0,0.0,0.0,London,1,3.0,7.0,30.0,0.429,3.0,7.0,30.0,2.6,12.43,33.03,47.3,684.3,20.0,65357464.0,722228,82438333,"k-pop, pop, Korean, Kpop, nmixx"
Natasha Bedingfield,4,0,3,4,0.0,279.0,active_tour,4,100.0,,0,4,0.0,0.0,0.0,Co Wicklow,1,1.0,3.0,25.0,0.333,1.0,3.0,25.0,8.7,45.12,76.53,83.92,2701.4,20.0,35439961.0,2959071,42856083,"pop, female vocalists, british, singer-songwriter, female"
Ne-Yo,66,24,15,57,36.36,79.0,active_tour,66,100.0,,5,52,8.77,0.096,21.21,London,4,14.0,52.0,21.21,0.269,8.0,49.0,14.04,1.9,,,,,,,3316511,63158035,"rnb, soul, Hip-Hop, pop, Ne-Yo"
